KOI	RPLANET	PER	UPER	A	TPLANET	MSTAR	TSTAR	RSTAR	RR
1144.01	1.51	2.4419785	0.0000296	0.033	1222	1.05	5730	0.77	0.01794
1501.01	1.42	2.6170562	0.0000256	0.033	927	0.82	4659	0.67	0.01938
1626.01	1.74	2.5347727	0.000026	0.033	1157	0.77	5439	0.77	0.02081
1835.02	2.69	2.2483077	0.0000098	0.033	1564	0.98	5004	1.66	0.01489
1964.01	0.73	2.2293226	0.0000128	0.033	1327	0.92	5548	0.97	0.00691
2101.01	1.11	2.8922188	0.0000224	0.033	732	0.56	4136	0.53	0.01918
2156.01	3.36	2.8523746	0.0000143	0.033	682	0.56	3853	0.53	0.05799
2157.01	1.73	2.115547	0.0000326	0.033	1320	1.02	5658	0.92	0.01719
2586.01	1.59	2.1319248	0.000026	0.033	1321	1.05	5599	0.94	0.01548
104.01	3.36	2.5080585	0.0000016	0.034	996	0.71	4786	0.76	0.04065
191.02	2.25	2.4183985	0.0000098	0.034	1211	1.02	5495	0.85	0.02426
220.01	3.54	2.4220796	0.0000017	0.034	1148	0.92	5388	0.79	0.04088
880.04	1.42	2.3829613	0.0000244	0.034	1256	1.03	5512	0.91	0.0143
1731.01	1.9	2.5949557	0.0000392	0.034	939	0.75	4593	0.73	0.02385
1979.01	0.92	2.7140596	0.0000148	0.034	1150	0.73	5509	0.76	0.01103
2060.01	1.92	2.8001313	0.0000139	0.034	888	0.67	4625	0.64	0.0274
2103.01	1.19	2.5430664	0.0000336	0.034	1250	0.82	5553	0.89	0.01236
2104.01	3.16	2.1684458	0.0000118	0.034	1509	1.08	5925	1.13	0.02556
2208.01	0.75	2.3445468	0.0000234	0.034	1319	0.99	5692	0.94	0.00738
2210.01	1.26	2.8888697	0.0000271	0.034	901	0.65	4762	0.62	0.01844
2248.04	0.99	2.6462347	0.0000491	0.034	1040	0.78	5128	0.72	0.01266
2638.01	1.54	2.5240738	0.0000328	0.034	1173	0.85	5276	0.86	0.01633
85.02	1.27	2.1549189	0.0000083	0.035	1592	1.19	6172	1.2	0.00971
159.02	1.3	2.4036536	0.0000315	0.035	1478	1	5823	1.16	0.01025
321.01	1.59	2.4263076	0.0000083	0.035	1375	0.96	5538	1.11	0.01312
692.01	1.1	2.4623449	0.0000152	0.035	1210	0.94	5608	0.84	0.01205
720.04	1.41	2.795902	0.0000106	0.035	1028	0.72	5123	0.72	0.01778
899.02	1.25	3.3065615	0.0000195	0.035	618	0.43	3653	0.52	0.02227
928.01	2.56	2.4941545	0.0000188	0.035	1212	1.01	5565	0.85	0.0275
1050.02	1.35	2.8531346	0.0000145	0.035	976	0.72	4894	0.71	0.01727
1069.02	2.25	2.4669614	0.0000321	0.035	1296	0.92	5221	1.11	0.01857
